
Country Name En,Unit Name,2023,2023 Flag,2022,2022 Flag,2021,2021 Flag,2020,2020 Flag,2019,2019 Flag,2018,2018 Flag,2017,2017 Flag,2016,2016 Flag,2015,2015 Flag,2014,2014 Flag,2013,2013 Flag,2012,2012 Flag,2011,2011 Flag,2010,2010 Flag,2009,2009 Flag,2008,2008 Flag,2007,2007 Flag,2006,2006 Flag,2005,2005 Flag,2004,2004 Flag,2003,2003 Flag,2002,2002 Flag,2001,2001 Flag,2000,2000 Flag,1999,1999 Flag,1998,1998 Flag,1997,1997 Flag,1996,1996 Flag,1995,1995 Flag,1994,1994 Flag,1993,1993 Flag,1992,1992 Flag,1991,1991 Flag,1990,1990 Flag,1989,1989 Flag,1988,1988 Flag,1987,1987 Flag,1986,1986 Flag,1985,1985 Flag,1984,1984 Flag,1983,1983 Flag,1982,1982 Flag,1981,1981 Flag,1980,1980 Flag,1979,1979 Flag,1978,1978 Flag,1977,1977 Flag,1976,1976 Flag,1975,1975 Flag,1974,1974 Flag,1973,1973 Flag,1972,1972 Flag,1971,1971 Flag,1970,1970 Flag,1969,1969 Flag,1968,1968 Flag,1967,1967 Flag,1966,1966 Flag,1965,1965 Flag,1964,1964 Flag,1963,1963 Flag,1962,1962 Flag,1961,1961 Flag,1960,1960 Flag,1959,1959 Flag,1958,1958 Flag,1957,1957 Flag,1956,1956 Flag,1955,1955 Flag,1954,1954 Flag,1953,1953 Flag,1952,1952 Flag,1951,1951 Flag,1950,1950 Flag
Burundi,Tonnes - live weight,615,E,540,E,540,E,490,E,495,E,445,E,440,E,380,E,366,E,225,E,205,E,160.4,A,61.7,A,17.3,A,50,E,50,E,50,E,50,E,50,E,50,E,50,E,50,E,50,E,50,E,50,E,50,E,50,E,50,E,50,E,50,E,50,E,50,E,50,A,30,E,25,E,24,A,25,A,21,A,2,A,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,Tonnes - live weight,35,A,35,A,28,A,22,A,5,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,Tonnes - live weight,314000,E,330600,E,348350,E,400400.3,E,307408,E,254050,E,207500,E,172500,E,145000,E,120055,E,90000,E,74000,E,72000,E,60000,E,50000,E,40000,E,35260,E,41010,E,44000,E,37515,E,26300,E,18250,E,17500,E,14430,E,15000,E,14100,E,11800,E,9600,E,9511,E,8200,E,7900,E,8550,E,6700,E,6400,E,5538,E,4600,E,2500,E,2200,E,3000,E,1610,E,934,E,464,E,240,E,106,E,53,E,25,E,11,E,4,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,Tonnes - live weight,12230,E,8224,E,8192,E,6817,E,9078,E,5214,E,5000,E,4395.0,E,1955,E,1575,E,1195,E,840,A,571,A,570,E,546,E,546,E,546,E,435,E,402,A,395,E,385,A,330,A,150,E,50,A,67,E,67,A,67,A,58,E,57,E,50,E,50,A,57,E,74,E,106,E,138,E,167,A,137,A,124,A,130,A,282,A,120,E,89,E,57,E,40,E,22,E,11,E,5,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Tonnes - live weight,146183,A,167770,A,188418,A,167138,A,187456,A,190383,A,191311,A,201004,A,187462,A,139732,A,168015,A,184910,A,169706,A,162341,A,155928,A,155549,A,152486,A,171629,A,154587,A,145018,A,167798,A,172046,A,153046,A,127665,A,112916,A,91046,A,81676,A,72376,A,65207,A,55430,A,52442,A,45386,A,48068,A,41216,A,32451,A,23622,A,16890,A,12678,A,8798,A,7720,A,4289,A,3421,A,4074,A,3566,A,3458,A,4038,A,3897,A,3943,A,4129,A,4583,A,5333,A,4561,A,3893,A,3591,A,3405,E,3394,E,3275,E,3258,E,3242,E,3230,E,3215,E,3100,E,2990,E,2975,E,2970,E,2960,E,2750,E,2740,E,2640,E,2830,E,2720,E,2710,E,2710,E,2700,E
Cayman Islands,Tonnes - live weight,90,E,88,E,85,E,82,E,79,E,10,E,10,E,10,E,10,E,10,E,10,E,10,E,10,E,10,E,10,E,10,E,10,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,Tonnes - live weight,390,E,350,E,320,E,279,E,239,E,204,E,190,E,195,E,195,E,195,E,195,E,182,E,170,E,170,E,140,E,140,E,140,E,140,E,125,E,125,E,125,E,125,E,125,E,120,E,117,A,80,A,80,A,150,E,210,E,255,E,301,E,338,A,105,E,105,E,82,E,79,A,88,A,193,A,288,A,309,A,128,E,111,E,94,E,80,E,64,E,47,E,30,E,15,E,5,E,0,A,0,A,0,A,0,A,0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,Tonnes - live weight,125,E,120,E,110,E,105,E,105,E,105,E,105,E,94,A,154,A,60,E,60,E,30,E,30,E,30,E,30,E,30,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Tonnes - live weight,1502919,A,1524149,A,1443520,A,1505486,A,1407289,A,1287232.58,A,1219747.097,A,1050117,A,1057742,A,1227359,A,1045718,A,1075547,A,969539,A,713241,E,881084,A,870845,E,806166,E,832329,E,739368,E,696157,E,607338,E,617303,A,631634,A,425058,A,305494,A,361430,A,375113,A,323115,A,206266,A,183747,A,135090,A,116281,A,105258,A,70464,A,51510,A,32349,A,13936,A,9941,A,7497,A,8611,A,1972,A,5316,A,2789,E,2088,E,1514,E,1093,E,818,E,736,E,543,E,443,E,370,E,258,E,212,E,183,E,201,E,183,E,144,E,230,E,120,E,110,E,100,E,90,E,80,E,80,E,70,E,70,E,70,E,60,E,50,E,50,E,50,E,40,E,40,E,40,E
China,Tonnes - live weight,78276940.600,A,75434999.000,A,72805297.000,A,70483538.480,A,68423859.000,A,66135059.342,A,64358480.813,A,62318377.873,A,59368941.586,E,57320503.727,E,55029057.764,E,52082585.663,E,49147606.101,E,47789756.781,E,46062875.713,E,44072886.736,A,42530160.303,A,40911091.487,A,38943267,E,37172411,E,34891716,E,33160273,E,31102502,E,29749708,E,28000956,E,25671893,E,23747399,E,23465787,A,21152498,A,18213586,A,15221669,A,12185159,A,9695110,A,8392965,A,8101298,A,7376299,A,6325967,A,5606227,A,5026016,A,4271240,A,3657489,A,3258008,A,3033775,A,3105342,A,2901626,A,2987334,A,2788044,E,2106125,E,2157727,E,1975622,E,1823366,E,1987611,E,1790968,E,1480670,E,1513849,E,1306208,E,1315911,E,1320775,E,1159540,E,1017083,E,856931,E,741121,E,777762,E,958506,E,898300,E,688567,E,704496,E,407732,E,430267,E,367849,E,252930,E,196444,E,147193,E,75961,E
"China, Hong Kong SAR",Tonnes - live weight,2059.81,A,3361.20,A,4008.87,A,3834.7,A,3787.1,A,4133,A,4172,A,4258,A,3894,A,3897,A,3764,A,4093,A,3438,A,4338,A,4819,A,4754,A,4514,A,4125,A,4130,A,4615,A,4857,A,4302,A,5627,A,4988,A,6052,A,6439,A,8310,A,8418,A,8571,A,8966,A,9299,A,9333,A,10624,A,10256,A,9529,A,10778,A,10436,A,9121,A,7901,A,8356,A,8540,A,9287,A,7913,A,7887,A,7383,A,6816,A,5101,A,6086,A,5239,A,4287,A,4010,A,3619,A,3287,A,3113,A,2140,A,1852,A,1169,A,1138,A,1279,A,1390,E,700,E,690,E,665,E,600,E,565,E,790,E,460,E,330,E,500,E,765,A,660,A,605,A,570,A,550,A
Colombia,Tonnes - live weight,202960,E,204941.99,A,192521.003,A,179350.99,A,171025.445,A,132756.22,A,118485,E,106685,E,95857,A,92002,E,89398,E,89654,A,83681,A,80367,A,80623,E,68200,E,66565,E,70132,E,61000,E,60072,A,60895,A,57160,E,57660,E,61786,A,52947,A,45933,A,43710,A,29990,A,36630,A,25652,A,23971,A,23987,A,12267,A,10455,A,5673,A,3314,A,1618,A,1171,A,921,A,775,A,535,E,400,E,300,E,224,E,165,E,123,E,91,E,66,E,48,E,31,E,18,E,13,E,4,E,0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,Tonnes - live weight,1657,A,976.6,A,911,A,900,A,731,A,640,E,692,E,643,E,579,E,520,E,465,E,405,E,335,E,285,E,243,E,215,E,25,A,21,A,80,A,72,A,69,A,68,A,64,A,66,A,190,A,140,E,99,A,106,A,139,A,121,A,234,A,191,A,243,A,240,A,243,A,177,A,121,A,91,A,61,A,47,A,48,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,Tonnes - live weight,9.5,E,8.5,E,8.5,E,8.5,E,8.5,E,8.5,E,8.5,E,10.5,E,9.96,A,8,E,8,E,6.2,A,2,E,2,E,2,E,2,E,1.98,E,0.285,E,0.15,E,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,1,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A
Costa Rica,Tonnes - live weight,16467.64,A,16772.41,A,17309.40,A,16268.95,A,22046,E,21955,E,21124,E,22212,E,23559.5,E,26765.5,E,30352,A,27287,A,27713.5,A,26839,A,24754.3,A,27059,A,25765,A,19962,A,24038,A,24708,A,20546,A,17892,A,10520,A,9708,A,9324,A,7937,A,7000,A,6986,A,6756,A,3910,A,3335,A,2244,A,1975,A,573,A,410,A,399,A,270,A,106,A,106,A,185,A,79,E,58,E,41,E,27,E,19,E,13,E,9,E,4,E,2,E,0,A,0,A,0,A,0,A,0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,Tonnes - live weight,8806,A,7957,A,7170,A,5650,E,4580,E,4550,E,4420,E,4392,E,4000,E,3750,E,3720,A,3720,A,3394,E,1700,E,1340,E,1290,E,1290,E,866,E,866,E,866,A,866,A,806,A,1025,A,1197,A,1000,A,862,A,450,A,1128,A,386,A,117,A,351,A,306,A,253,A,100,A,168,A,170,A,229,A,213,A,60,A,21,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Tonnes - live weight,26823.903,A,27217.793,A,27919.701,A,21718.27,A,20442.966,A,19680.308,A,17114.409,A,17269.035,A,16874.856,A,13767.995,A,13720.21,A,11222.101,A,14604,A,15678.51,A,16328.55,A,15729,A,16135,A,18847,A,13842,A,12834,A,9505,A,9095,A,10468,A,6876,A,6313,A,5989,A,3510,A,2889,A,4007,A,4941,A,4603,A,6802,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,Tonnes - live weight,12823.82,A,15542.4,A,22954.1,A,26240,A,27169.8,A,28628,A,31210,A,29185,A,32056,A,31282.6,A,29577.7,A,26179.2,A,24597.8,A,31422,A,36002,A,36685,A,37526,A,27210,A,22635,A,27562,A,26897,A,27044,A,25569,A,32780,A,40166,A,39603,A,36367,A,36354,A,22276,A,16273,A,12774,A,10977,A,8261,A,8174,A,6036,A,5768,A,5578,A,4626,A,4637,A,4383,A,4145,A,3779,A,2977,E,2309,E,1990,E,1690,E,1320,E,1310,E,1040,E,810,E,680,E,570,E,460,E,350,E,220,E,80,E,20,E,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A
Curaçao,Tonnes - live weight,,,,,,,,,,,0.5,E,0.5,E,0.5,E,0.5,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Tonnes - live weight,5700.2,A,7605.4,A,7878.96,A,7358.6,A,8100.26,A,7375.14,A,7303.11,A,6650.26,A,5847.54,A,4835.344,A,5339.1,A,4333.71,A,4666.98,A,4098.8,A,3345.7,A,3786.0,A,3200,A,3607,A,3620,A,3545,A,1821,A,1862,A,1883,A,1878,A,1422,A,1178,A,969,A,787,A,452,A,291,A,259,A,155,A,127,A,125,A,83,A,58,A,50,A,57,A,56,A,60,A,50,A,46,A,36,A,31,A,31,A,31,A,31,A,31,A,31,A,41,A,0,A,0,A,0,A,0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechia,Tonnes - live weight,18613,A,19259,A,20991,A,20401,A,20986,A,21751,A,21685,A,20952,A,20200,A,20135,A,19357.4,A,20763,A,21010,A,20420,A,20071,A,20395,A,20447,A,20431,A,20455,A,19384,A,19670,A,19210,A,20098,A,19475,A,18775,A,17231,A,17560,A,18200,A,18679,A,18655,A,20242,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakia [former],Tonnes - live weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24135,A,22046,A,22326,A,21266,A,21247,A,20736,A,21234,A,19813,A,19488,A,19525,A,18041,A,16503,A,15957,A,16817,A,17094,A,17958,A,17364,A,16940,A,15855,A,15426,A,15170,A,13866,A,13366,A,13994,A,13771,A,11783,A,11522,A,11023,A,10641,A,9675,A,9929,A,9929,A,8824,A,8572,A,8112,A,7180,A,6488,A,6337,A,6131,A,7078,A,6633,A,4120,A,3590,A
Democratic People's Republic of Korea,Tonnes - live weight,680700,E,680700,E,680560,E,680300,E,679560,E,679060,E,625060,E,619750,E,567750,E,567545,E,511675,E,510610,E,509800,E,509785,E,508660,E,508550,E,508250,E,508180,E,508175,E,508105,E,508095,E,508095,A,508095,A,467700,E,481500,E,481500,E,489321,A,782475,A,738317,A,817039,A,1130000,E,1100000,A,950000,E,900000,E,1200000,E,1090000,E,1080000,E,855100,E,744900,E,694800,E,549383,E,470917,E,404354,E,347299,E,297961,E,258006,E,223564,E,192889,E,165608,E,143138,E,123457,E,105263,E,88133,E,71743,E,55844,E,40218,E,24690,E,17841,E,14143,E,11410,E,9229,E,7556,E,6287,E,5236,E,4357,E,3619,E,2996,E,2468,E,2028,E,1662,E,1339,E,1070,E,846,E,661,E
Democratic Republic of the Congo,Tonnes - live weight,5510,E,5295,E,5095,E,4690,E,4290,E,3880,E,3580,E,3226,A,3007.0,A,2921,A,2921,A,2929,A,3030,E,3025,E,3025,E,3025,E,3020.5,E,3020,E,3015,E,2965,E,2965,E,2965,A,2744,A,2076,A,1993,A,1833,A,1000,E,600,E,600,E,650,E,700,E,730,E,700,E,700,E,760,E,759,A,723,A,689,A,180,A,81,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Tonnes - live weight,33135.4,A,37922.2,A,40594.2,A,42629,A,40220.96,A,36453,E,37499,E,36338,E,35866.7,A,34382.2,E,37707.2,E,34585.54,A,35918,E,36175,E,35130.4,A,36066,A,31168,A,37188,A,39012,A,42814,A,37772,A,32026,A,41573,A,43609,A,42670,A,42368,A,39697,A,41924,A,44730,A,42892,A,39739,A,43264,A,42098,A,41946,A,33059,A,28659,A,25851,A,24402,A,24244,A,23609,A,25363,A,21655,A,21202,A,18555,A,17118,A,16060,A,13633,A,14149,A,15188,A,12190,A,13176,A,13914,A,11910,A,9272,A,11147,A,12178,A,10638,A,10135,A,10809,A,8263,A,7824,A,7700,A,7538,A,6045,A,6044,A,5274,A,4361,A,3950,A,3641,A,3300,A,2900,A,2800,A,2500,A,2146,A
Dominica,Tonnes - live weight,2,E,2.5,E,1.5,E,0.1,E,0,E,0,E,0,E,6,E,6,E,6,E,6,E,6,E,6,E,11,E,24,E,24,E,24,E,24,E,19,E,18,E,13,E,13,E,12,E,7,E,5,E,5,E,5,E,4,E,4,A,3,A,3,E,6,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,Tonnes - live weight,3820,E,3750,E,3750,E,3430,E,3165,E,3009,E,2639,E,2095,E,2290,E,2180.5,A,1575,E,1031.8,A,2147.9,A,1280,E,1230,E,1080,E,1080,E,980,E,980,A,2000,E,1944,E,3554,A,2647,A,2125,A,748,A,810,A,677,A,789,A,2206,A,3982,A,1347,A,815,A,615,A,280,E,221,A,277,A,323,A,301,A,193,E,50,A,3,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,Tonnes - live weight,1234088,E,1123048,E,904136.29,A,774588.55,A,695850,A,581450,E,485005,E,451395.3,A,426750.4,A,368492,E,332382,A,322655,A,309702,E,272720.80,A,219463,A,173222,E,171020,E,169588,A,138562,A,108673,A,95278,A,77636,A,57587,E,61311,A,126575,A,145790,A,134497,A,108880,A,106223,A,89096,A,87763,A,116694,A,107145,A,77730,A,71211,A,75631,A,70099,A,44339,A,30876,A,34225,A,36273,E,22016,E,12554,E,9565,E,5009,E,4113,E,3552,E,2155,E,1591,E,1030,E,513,E,200,E,50,E,50,E,10,E,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A
Egypt,Tonnes - live weight,1552430,E,1552430,A,1576189.4,A,1591896,A,1641949,A,1594231,A,1406864.5,A,1370660,A,1174831,A,1137091,A,1097544,A,1017738,A,986820,A,919585,A,705490,A,693765,A,635516,A,595030,A,539748,A,471535,A,445181,A,376296,A,342864,A,340093,A,226276,A,139389,A,85704,A,91137,A,71815,A,56603,A,51210,A,63895,A,61617,A,61916,A,60500,E,52200,E,46400,E,45500,E,41846,E,27000,E,25000,E,24000,E,21000,E,19000,E,17000,E,15000,E,13000,E,11000,E,9000,E,9000,E,9000,E,8000,E,7000,E,6000,E,5900,E,5600,E,5600,E,5900,E,6200,E,7000,E,6000,E,5200,E,5200,E,4600,E,4600,E,4300,E,3800,E,3400,E,3350,E,3000,E,2700,E,2500,E,2000,E,2000,E
El Salvador,Tonnes - live weight,13418,E,12919,E,12748.852,A,8378,A,9944.05,A,10913.22,A,11027.63,A,7955.68,A,6742.71,A,1663,A,3278,A,5322,E,4883.7,A,4499.93,A,4355.71,A,3817,E,3734,A,3078,A,2203,A,2219,A,1131,A,781,A,395,A,261,A,279,A,399,A,384,A,358,A,518,A,1324,A,628,A,539,A,117,A,632,A,711,A,718,A,790,A,760,A,676,A,10,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,Tonnes - live weight,19,E,19,E,18,E,18,E,18,E,16,E,16,E,16,E,16,E,15,E,15,E,15,E,17,E,15,A,6,E,6,E,6,E,6,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,Tonnes - live weight,4,E,4,E,4,E,4,E,4,E,3,E,3,E,3,E,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,6,A,22,A,17,A,14,A,6,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Tonnes - live weight,918.461,A,800.819,A,849.460,A,1090.150,A,1061.971,A,943.661,A,870.461,E,867.733,A,798.7,A,870.475,A,733.214,A,581.398,A,388.34,A,573.04,A,653.6,A,813,A,772,A,703,A,555,A,252,A,372,A,257,A,467,A,225,A,200,A,260,A,260,A,272,A,315,A,417,A,330,A,693,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,Tonnes - live weight,60,E,60,E,60,E,60,E,60,E,60,E,60,E,60,E,60,E,60,E,60,E,60,E,60,E,60,E,50,E,50,E,50,E,50,E,45,E,45,E,25,E,25,E,72,E,69,E,61,A,81,A,66,A,93,A,88,A,60,A,42,A,40,A,45,A,45,A,40,A,20,A,19,A,18,A,12,A,8,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,Tonnes - live weight,2740,A,1070,A,740,A,534,A,430,A,165,A,126,A,95,E,90.5,A,85.5,A,45.3,A,38,A,25,E,25,E,25,E,25,E,25,E,25,E,25,E,25,E,15,E,15,E,15,E,15,E,15,E,14,E,24,E,38,E,55,A,33,E,28,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia PDR [former],Tonnes - live weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,E,36,E,36,E,33,A,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands (Malvinas),Tonnes - live weight,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,2,A,2,A,2,A,21,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,Tonnes - live weight,98245,E,108745,E,115760,E,89055,E,95085,E,78975,E,86866,E,83333,E,80622,E,86454,A,75909,A,76564,A,60473,A,47575,A,59295,A,46673,A,30699,A,18574,A,23455,A,46077,A,62746,A,56102,A,49167,A,34823,A,42544,A,20436,A,22538,A,17584,A,8611,A,15332,A,18752,A,19098,A,18283,A,13076,A,8131,A,5260,A,4523,A,2520,A,1620,A,513,A,390,A,360,A,445,E,222,E,100,E,305,E,102,E,51,E,80,E,40,E,25,E,10,E,5,E,0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,Tonnes - live weight,542.3,A,211,E,206.1,A,322.3,E,305,E,300,E,245,E,185,E,688,A,1079,A,371,A,616,A,646,A,767.5,A,670.026,A,888,A,830,A,1618,A,561.5,A,561.5,A,394,A,1206,A,4927,A,6991,A,16860.02,A,2408,A,365,A,255,A,200,E,184,E,1832.034,A,2498.9,A,3493,A,6353,A,6045,A,5089,A,10896,A,8660,A,757,A,6,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A
Finland,Tonnes - live weight,15168.6,A,16280.6,A,14399.4,A,15052.9,A,15295.8,A,14163.7,A,14586.9,A,14412.17,A,14877,A,13465,A,13613,A,12659,A,11275,A,11772,A,13627,A,13439,A,13025,A,12891,A,14355,A,12821,A,12558,A,15132,A,15739,A,15400,A,15449,A,16024,A,16426,A,17659,A,17345,A,16682,A,17526,A,17909,A,19271,A,18550,A,18550,A,16367,A,12689,A,11006,A,10166,A,9586,A,7746,A,6334,A,5698,A,4921,A,3275,A,3455,A,2500,A,2500,A,1800,A,1800,A,1200,A,1403,E,1201,E,999,E,800,E,600,E,390,E,190,E,50,E,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A
France,Tonnes - live weight,186568.789,A,200633.991,A,193352.177,A,191070.413,A,196171.36,A,187485.08,A,188605.81,A,180610.80,A,163352.6,A,180390.0,A,200401.1,A,205151.9,A,193662.2,A,203409,A,234002.00,A,238248.60,A,237451,A,237375,A,244925,A,242167,A,239601,A,251758,A,251655,A,266802,A,264857,A,267850,A,287243,A,285526,A,280786,A,280954,A,277323,A,250254,A,245094,A,256653,A,225122,A,227544,A,231894,A,243671,A,226903,A,192609,A,196288,A,192707,A,200250,A,207039,A,188692,A,163893,A,180727,A,148586,A,164937,A,137010,A,127366,A,128308,A,85280,A,106444,A,104725,A,108610,A,115255,A,102700,A,111650,A,98220,A,110000,A,106900,A,116700,A,111100,A,108700,A,91600,A,104900,A,104000,A,119300,A,85900,A,115800,A,92000,A,115100,A,104000,A
French Guiana,Tonnes - live weight,3,E,3,E,3,E,2,E,2,E,2,E,2,E,3,E,3,E,3,E,3,E,4,E,4,E,4,E,8,E,8,E,35,E,37,A,37,A,37,A,37,A,38,A,37,A,31,A,31,A,18,A,7,A,0,A,0,A,0,A,0,A,0,A,83,A,83,A,89,A,63,A,71,A,36,A,15,A,2,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,Tonnes - live weight,1246.5,A,1756.989,A,1564.175,A,1475.117,A,1887.386,A,1859.397,A,1733.613,A,1348.973,A,1914.672,A,2086.534,A,2697.675,A,2654.558,A,2918.921,A,2184.438,A,1905.364,A,1945.685,A,2255.192,A,2483.101,A,2961.828,A,1900.803,A,2013.058,A,1343.841,A,932.624,A,810.667,A,989.822,A,619.001,A,809.188,A,596.380,A,551.699,A,615.960,A,455.172,A,71,A,80,A,88,A,89,A,66,A,39,A,129.104,A,89.206,E,22,A,11.5,A,13,A,6,A,6,A,7,A,3,A,4.5,A,2,A,0,A,0,A,0,A,0,A,0,A,0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,Tonnes - live weight,90,E,87,E,72,E,72,E,62,E,62,E,50,E,50,E,45,E,45,A,46,A,48,A,130,A,130,A,126,A,124,A,124,A,126,A,78,A,80,A,80,A,83,A,102,A,558,A,558,A,158,A,57,A,62,A,39,A,28,A,8,A,5,E,3,E,2,E,2,E,2,A,3,A,3,A,2,A,2,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
